Pitch,Roll,Yaw,M1,M2,M3,M4,M1A1,M1A2,Control
0.368390646,0.309728931,0.189325358,2000.189325,2000.189325,2000.189325,2000.189325,0,4.987474933,00
0.198223923,-0.083993658,0.329196949,2000.329197,2000.329197,2000.329197,2000.329197,4.207354924,2.992360721,00
0.02374243,-0.17341068,-0.143941269,1999.856059,1999.856059,1999.856059,1999.856059,4.546487134,-1.753916138,00
0.111187865,-0.0304426,0.033211798,2000.033212,2000.033212,2000.033212,2000.033212,0.70560004,-4.887650588,00
-0.220256603,-0.436606463,-0.047609786,1999.95239,1999.95239,1999.95239,1999.95239,-3.784012477,-3.527701628,00
0.536367348,-0.230331146,-0.548292667,1999.451707,1999.451707,1999.451707,1999.451707,-4.794621373,1.07559994,00
0.018676342,0.596406201,-0.127279521,1999.87272,1999.87272,1999.87272,1999.87272,-1.397077491,4.689999884,00
0.568283996,-0.93014789,0.378341681,2000.378342,2000.378342,2000.378342,2000.378342,3.284932994,3.992435563,00
0.083505801,0.309909881,-0.152468912,1999.847531,1999.847531,1999.847531,1999.847531,4.946791233,-0.375755602,00
0.275647297,-0.376864449,0.413543968,2000.413544,2000.413544,2000.413544,2000.413544,2.060592426,-4.3984788,00
-0.457319595,-0.138502025,-0.130584008,1999.869416,1999.869416,1999.869416,1999.869416,-2.720105554,-4.377260873,00
-0.221727951,0.43211236,0.343361197,2000.343361,2000.343361,2000.343361,2000.343361,-4.999951033,-0.331609487,00
0.394014142,-0.275956872,0.089175154,2000.089175,2000.089175,2000.089175,2000.089175,-2.68286459,4.018922133,00
-0.202062268,0.028247688,-0.284082513,1999.715917,1999.715917,1999.715917,1999.715917,2.100835184,4.674475278,00
0.18257417,0.078315503,0.361385397,2000.361385,2000.361385,2000.361385,2000.361385,4.953036778,1.03233741,00
-0.113851364,0.128702405,-0.225250883,1999.774749,1999.774749,1999.774749,1999.774749,3.251439201,-3.558926712,00
-0.042872989,0.204936578,-0.371779959,1999.62822,1999.62822,1999.62822,1999.62822,-1.439516583,-4.878130027,00
-0.426698293,-0.052013097,0.044755161,2000.044755,2000.044755,2000.044755,2000.044755,-4.806987459,-1.712403092,00
-0.401751533,0.256623452,0.354771913,2000.354772,2000.354772,2000.354772,2000.354772,-3.754936234,3.027699349,00
0.311348458,0.129131415,0.336600675,2000.336601,2000.336601,2000.336601,2000.336601,0.749386048,4.984148971,00
-0.014192496,-0.407961829,0.476742061,2000.476742,2000.476742,2000.476742,2000.476742,4.564726254,2.358195015,00
-0.25264844,0.304751961,0.599769273,2000.599769,2000.599769,2000.599769,2000.599769,4.183278193,-2.435872562,00
-0.241968768,0.20635547,0.394387877,2000.394388,2000.394388,2000.394388,2000.394388,-0.044256546,-4.99041014,00
0.272504501,-0.129918986,0.318595419,2000.318595,2000.318595,2000.318595,2000.318595,-4.231102021,-2.956787649,00
-0.017779945,-0.559601646,0.170224303,2000.170224,2000.170224,2000.170224,2000.170224,-4.52789181,1.79529177,00
0.162376056,0.138974836,-0.195047547,1999.804952,1999.804952,1999.804952,1999.804952,-0.66175875,4.896788216,00
0.125441504,0.156590133,-0.384568154,1999.615432,1999.615432,1999.615432,1999.615432,3.812792252,3.496200158,00
0.239137436,0.216494775,-0.281445711,1999.718554,1999.718554,1999.718554,1999.718554,4.781879642,-1.118778201,00
0.1266448,-0.125178565,-0.627143306,1999.372857,1999.372857,1999.372857,1999.372857,1.354528942,-4.705157042,00
-0.424181829,0.015500634,0.300524409,2000.300524,2000.300524,2000.300524,2000.300524,-3.318169421,-3.965636197,00
0.118598385,-0.117689774,0.109659256,2000.109659,2000.109659,2000.109659,2000.109659,-4.94015812,0.419872278,00
0.355807408,0.081258762,-0.301907631,1999.698092,1999.698092,1999.698092,1999.698092,-2.020188227,4.419352118,00
0.230416703,0.256374094,-0.24027814,1999.759722,1999.759722,1999.759722,1999.759722,2.757133406,4.355700001,00
-0.75181706,-0.107561174,0.100927349,2000.100927,2000.100927,2000.100927,2000.100927,4.999559301,0.287437391,00
-0.086577602,-0.416990177,0.18986411,2000.189864,2000.189864,2000.189864,2000.189864,2.645413431,-4.045093831,00
-0.10212257,-0.666978894,0.317717308,2000.317717,2000.317717,2000.317717,2000.317717,-2.140913347,-4.658584439,00
0.100556608,0.096941746,-0.11410271,1999.885897,1999.885897,1999.885897,1999.885897,-4.958894267,-0.988993998,00
-0.161646845,-0.249445283,-0.212487478,1999.787513,1999.787513,1999.787513,1999.787513,-3.217690667,3.589872964,00
-0.00064553,-0.159285935,-0.190895751,1999.809104,1999.809104,1999.809104,1999.809104,1.481842894,4.868227278,00
0.508023372,0.491171041,-0.915295213,1999.084705,1999.084705,1999.084705,1999.084705,4.818976931,1.670755884,00
